,0
0,4.1
1,4.1
2,3.1
3,3.6
4,5.2
5,3.3
6,6.0
7,3.4
8,3.1
9,3.4
10,3.2
11,5.2
12,4.1
13,2.9
14,3.7
15,3.4
16,3.6
17,3.8
18,3.8
19,3.9
20,3.3
21,3.6
22,3.0
23,5.6
24,5.3
25,3.8
26,6.0
27,2.1
28,2.8
29,3.6
30,3.8
31,3.2
32,4.4
33,3.4
34,2.9
35,5.4
36,3.3
37,3.3
38,3.8
39,5.9
40,4.3
41,5.9
42,2.9
43,4.3
44,4.0
45,4.8
46,3.9
47,2.8
48,4.1
49,5.3
50,4.0
51,3.8
52,5.4
53,5.0
54,3.6
55,4.9
56,4.7
57,3.9
58,3.1
59,5.6
60,2.8
61,4.8
62,3.8
63,4.2
64,4.8
65,4.0
66,4.4
67,4.7
