,0
0,0.0
1,0.8333333333333334
2,1.0
3,0.8333333333333334
4,1.8333333333333333
5,1.5
6,1.8333333333333333
7,1.8333333333333333
8,1.5
9,2.1666666666666665
10,0.5
11,2.833333333333333
12,1.3333333333333333
13,0.8333333333333334
14,0.1666666666666666
15,1.1666666666666667
16,2.5
17,2.0
18,0.3333333333333333
19,0.0
20,3.0
21,0.1666666666666666
22,0.3333333333333333
23,2.333333333333333
24,0.8333333333333334
25,0.5
26,2.0
27,2.1666666666666665
28,0.5
29,3.0
30,2.5
31,1.0
32,2.0
33,2.833333333333333
34,5.0
35,4.0
36,1.3333333333333333
37,0.5
38,1.3333333333333333
39,1.3333333333333333
40,1.8333333333333333
41,1.3333333333333333
42,2.1666666666666665
43,2.5
44,2.0
45,2.5
46,1.6666666666666667
47,1.1666666666666667
48,0.5
49,2.833333333333333
50,2.1666666666666665
51,2.6666666666666665
52,1.3333333333333333
53,0.8333333333333334
54,1.1666666666666667
55,2.1666666666666665
56,3.1666666666666665
57,1.6666666666666667
58,0.6666666666666666
59,0.8333333333333334
60,4.333333333333333
61,3.0
62,2.6666666666666665
63,1.8333333333333333
64,3.333333333333333
65,2.1666666666666665
66,0.0
67,3.333333333333333
