,0
0,5.0
1,2.571428571428572
2,4.0
3,4.142857142857143
4,4.0
5,4.0
6,5.0
7,2.857142857142857
8,3.857142857142857
9,3.4285714285714284
10,4.428571428571429
11,3.142857142857143
12,3.4285714285714284
13,4.428571428571429
14,4.428571428571429
15,4.428571428571429
16,2.857142857142857
17,3.857142857142857
18,3.7142857142857135
19,4.571428571428571
20,3.142857142857143
21,4.428571428571429
22,3.571428571428572
23,2.4285714285714284
24,2.857142857142857
25,4.285714285714286
26,5.0
27,4.285714285714286
28,4.714285714285714
29,2.857142857142857
30,2.857142857142857
31,3.4285714285714284
32,3.142857142857143
33,1.8571428571428568
34,3.857142857142857
35,1.7142857142857142
36,4.0
37,4.428571428571429
38,2.7142857142857144
39,3.142857142857143
40,4.714285714285714
41,4.285714285714286
42,3.142857142857143
43,3.0
44,3.2857142857142856
45,2.7142857142857144
46,3.2857142857142856
47,4.142857142857143
48,4.428571428571429
49,1.5714285714285714
50,4.0
51,3.0
52,4.285714285714286
53,5.0
54,3.4285714285714284
55,2.2857142857142856
56,3.0
57,3.142857142857143
58,3.571428571428572
59,1.7142857142857142
60,1.1428571428571428
61,3.0
62,3.0
63,4.714285714285714
64,3.142857142857143
65,3.0
66,4.714285714285714
67,3.2857142857142856
