,0
0,3.666666666666667
1,4.0
2,3.5
3,3.8333333333333335
4,4.666666666666666
5,3.8333333333333335
6,6.0
7,3.333333333333333
8,3.8333333333333335
9,3.8333333333333335
10,3.333333333333333
11,4.333333333333333
12,3.333333333333333
13,3.5
14,3.6666666666666665
15,2.666666666666667
16,3.5
17,3.333333333333333
18,3.5
19,4.0
20,4.0
21,3.1666666666666665
22,3.6666666666666665
23,6.0
24,3.666666666666667
25,3.333333333333333
26,5.166666666666666
27,4.666666666666666
28,3.1666666666666665
29,3.5
30,3.1666666666666665
31,3.0
32,4.333333333333334
33,3.333333333333333
34,5.333333333333334
35,3.333333333333333
36,3.8333333333333335
37,3.333333333333333
38,3.6666666666666665
39,4.833333333333333
40,3.666666666666667
41,5.833333333333334
42,3.6666666666666665
43,4.833333333333333
44,3.5
45,3.833333333333333
46,3.5
47,3.333333333333333
48,3.333333333333333
49,5.5
50,3.6666666666666665
51,3.333333333333333
52,5.166666666666666
53,5.0
54,3.5
55,5.0
56,3.5
57,3.5
58,3.0
59,4.666666666666666
60,3.0000000000000004
61,2.166666666666667
62,3.6666666666666665
63,3.6666666666666665
64,3.833333333333333
65,3.5
66,3.8333333333333335
67,4.0
