,0
0,5.0
1,4.666666666666667
2,3.6666666666666665
3,3.6666666666666665
4,4.666666666666667
5,4.333333333333333
6,5.0
7,3.0
8,3.333333333333333
9,3.333333333333333
10,4.666666666666667
11,3.333333333333333
12,4.666666666666667
13,2.6666666666666665
14,4.333333333333333
15,4.666666666666667
16,3.333333333333333
17,4.0
18,3.0
19,4.0
20,3.6666666666666665
21,4.333333333333333
22,5.0
23,2.6666666666666665
24,1.6666666666666667
25,5.0
26,5.0
27,3.333333333333333
28,4.666666666666667
29,3.0
30,3.333333333333333
31,2.333333333333333
32,4.0
33,2.6666666666666665
34,3.6666666666666665
35,4.333333333333333
36,3.0
37,4.666666666666667
38,3.333333333333333
39,3.6666666666666665
40,5.0
41,3.0
42,3.6666666666666665
43,2.333333333333333
44,3.333333333333333
45,2.6666666666666665
46,3.6666666666666665
47,4.0
48,4.333333333333333
49,2.6666666666666665
50,3.6666666666666665
51,2.0
52,5.0
53,5.0
54,2.333333333333333
55,2.333333333333333
56,3.0
57,4.333333333333333
58,1.6666666666666667
59,1.0
60,2.6666666666666665
61,3.0
62,1.3333333333333333
63,3.333333333333333
64,1.6666666666666667
65,2.6666666666666665
66,4.666666666666667
67,3.6666666666666665
