,0
0,2.833333333333333
1,2.083333333333333
2,2.25
3,2.4166666666666665
4,1.5
5,2.583333333333333
6,4.166666666666666
7,2.75
8,3.416666666666667
9,3.083333333333333
10,2.6666666666666665
11,2.416666666666667
12,2.833333333333333
13,2.75
14,2.75
15,2.4166666666666665
16,2.9166666666666665
17,2.0
18,2.75
19,2.5
20,3.5
21,2.5
22,2.833333333333333
23,2.9166666666666665
24,2.083333333333333
25,2.75
26,4.0
27,2.5
28,2.416666666666667
29,2.166666666666667
30,0.8333333333333333
31,2.1666666666666665
32,1.0833333333333337
33,2.5
34,0.8333333333333333
35,1.0
36,2.833333333333333
37,2.583333333333333
38,2.333333333333333
39,2.75
40,2.416666666666667
41,2.916666666666667
42,2.583333333333333
43,3.1666666666666665
44,3.083333333333333
45,2.083333333333333
46,2.583333333333333
47,2.0
48,2.75
49,2.416666666666667
50,1.9166666666666667
51,2.583333333333333
52,1.25
53,1.4166666666666663
54,2.75
55,2.6666666666666665
56,1.0
57,2.75
58,2.916666666666667
59,2.0
60,2.9166666666666665
61,3.75
62,2.9166666666666665
63,2.833333333333333
64,2.5
65,2.5
66,2.5
67,2.916666666666667
